1960,PA,Pennsylvania,11329000
1960,RI,Rhode Island,855000
1960,SC,South Carolina,2392000
1960,SD,South Dakota,683000
1960,TN,Tennessee,3575000
1960,TX,Texas,9624000
1960,UT,Utah,900000
1960,VA,Virginia,3986000
1960,VT,Vermont,389000
1960,WA,Washington,2855000
1960,WI,Wisconsin,3962000
1960,WV,West Virginia,1853000
1960,WY,Wyoming,331000
1980,AK,Alaska,405315
1980,AL,Alabama,3900368
1980,AR,Arkansas,2288738
1980,AZ,Arizona,2737774
1980,CA,California,23800800
1980,CO,Colorado,2908803
1980,CT,Connecticut,3113174
1980,DC,District of Columbia,638284
1980,DE,Delaware,594919
1980,FL,Florida,9839835
1980,GA,Georgia,5486174
1980,HI,Hawaii,967710
1980,IA,Iowa,2914018
1980,ID,Idaho,947983
1980,IL,Illinois,11434702
1980,IN,Indiana,5490721
1980,KS,Kansas,2369039
1980,KY,Kentucky,3664221
1980,LA,Louisiana,4223101
1980,MA,Massachusetts,5746075
1980,MD,Maryland,4227643
1980,ME,Maine,1126860
1980,MI,Michigan,9255553
1980,MN,Minnesota,4085017
1980,MO,Missouri,4921966
1980,MS,Mississippi,2525342
1980,MT,Montana,788752
1980,NC,North Carolina,5898980
1980,ND,North Dakota,654380
1980,NE,Nebraska,1572296
1980,NH,New Hampshire,924250
1980,NJ,New Jersey,7376330
1980,NM,New Mexico,1309400
1980,NV,Nevada,810215
1980,NY,New York,17566754
1980,OH,Ohio,10800650
1980,OK,Oklahoma,3040758
1980,OR,Oregon,2641218
1980,PA,Pennsylvania,11868305
1980,RI,Rhode Island,948773
1980,SC,South Carolina,3134502
1980,SD,South Dakota,690851
1980,TN,Tennessee,4600252
1980,TX,Texas,14338208
1980,UT,Utah,1472595
1980,VA,Virginia,5368334
1980,VT,Vermont,512524
1980,WA,Washington,4154678
1980,WI,Wisconsin,4712045
1980,WV,West Virginia,1951349
1980,WY,Wyoming,474185
2000,AK,Alaska,627963
2000,AL,Alabama,4452173
2000,AR,Arkansas,2678588
2000,AZ,Arizona,5160586
2000,CA,California,33987977
2000,CO,Colorado,4326921
2000,CT,Connecticut,3411777
2000,DC,District of Columbia,572046
2000,DE,Delaware,786373
2000,FL,Florida,16047515
2000,GA,Georgia,8227303
2000,HI,Hawaii,1213519
2000,IA,Iowa,2929067
2000,ID,Idaho,1299430
2000,IL,Illinois,12434161
2000,IN,Indiana,6091866
2000,KS,Kansas,2693681
2000,KY,Kentucky,4049021
2000,LA,Louisiana,4471885
2000,MA,Massachusetts,6361104
2000,MD,Maryland,5311034
2000,ME,Maine,1277072
2000,MI,Michigan,9952450
2000,MN,Minnesota,4933692
2000,MO,Missouri,5607285
2000,MS,Mississippi,2848353
2000,MT,Montana,903773
2000,NC,North Carolina,8081614
2000,ND,North Dakota,642023
2000,NE,Nebraska,1713820
2000,NH,New Hampshire,1239882
2000,NJ,New Jersey,8430621
2000,NM,New Mexico,1821204
2000,NV,Nevada,2018741
2000,NY,New York,19001780
2000,OH,Ohio,11363543
2000,OK,Oklahoma,3454365
2000,OR,Oregon,3429708
2000,PA,Pennsylvania,12284173
2000,RI,Rhode Island,1050268
